Ix,t,l,g.300.41N.0W,g.300.42N.0W,g.300.41N.1E,g.300.42N.1E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.0W,g.500.42N.0W,g.500.41N.1E,g.500.42N.1E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.0W,g.700.42N.0W,g.700.41N.1E,g.700.42N.1E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,44,93526.79,93178.305,93584.45,93270.836,92704.91,94969.96,91734.37,94767.46,57067.07,56857.625,57119.266,56915.84,56540.574,58113.773,55951.043,57982.887,30924.814,30826.29,30940.545,30843.262,30677.57,31495.266,30237.312,31450.246,-Inf,0
0,1,45,93169.11,92794.76,93243.63,92853.19,91987.63,94644.66,91813.1,94566.68,56648.98,56473.527,56681.5,56503.773,56022.242,57862.57,56029.74,57738.242,30581.426,30487.66,30564.143,30471.93,30299.615,31289.418,30295.682,31168.85,-Inf,0
0,1,46,92572.52,92578.086,92441.484,92417.54,91314.99,94413.04,93608.98,94464,56588.355,56500.695,56538.168,56436.855,55862.582,57766.08,56627.566,57811.18,30677.88,30573.664,30648.592,30574.389,30282.643,31242.64,30455.371,31183.648,-Inf,0
0,1,47,94862.1,94734.695,94823.21,94701.17,93995.77,94549.25,93946.16,94968.62,57686.582,57576.035,57662.09,57559.31,57020.098,57760.324,56747.08,58075.098,31141.734,31014.957,31138.732,31026.96,30674.982,31218.525,30292.268,31383.494,-Inf,0
0,1,48,94909.61,94721.09,94943.71,94756.16,94045.77,95139.695,93286.734,94298.28,57808.504,57654.46,57827.508,57693.14,57260.727,58003.9,56706.395,57854.94,31231.67,31160.674,31239.639,31176.197,30971.695,31302.873,30532.887,31370.143,-Inf,0
0,1,49,94236.59,94067.04,94334.1,94176.055,93879.68,95037.2,92788.055,94529.13,57513.27,57368.863,57576.035,57430.293,57157.543,58027.32,56684.848,57904.863,31197.414,31108.928,31226.703,31140.7,30950.48,31360.932,30755.914,31302.666,-Inf,0
0,1,50,93390.19,93102.24,93481.766,93181.18,92677.13,94830.11,93343.25,94446.75,57192.605,56992.527,57203.582,57004.035,56655.27,58049.535,57026.254,57881.31,31086.262,30956.586,31116.068,30968.799,30715.242,31572.988,31014.543,31339.51,-Inf,0
0,1,51,93784.84,93525.25,93772.39,93509.35,92539.766,94815.734,93558.4,94685.84,57346.65,57188.19,57327.508,57156.473,56536.023,58117.656,57205.453,58114.977,31177.44,31053.973,31131.695,31017.232,30567.764,31643.984,31124.451,31545.977,-Inf,0
0,1,52,93706.49,93496.516,93682.92,93459.92,92344.35,94517.445,93689.44,94172.414,57268.223,57113.51,57236.906,57072.426,56357.227,57991.184,57326.438,57787.758,31108.617,30988.875,31073.637,30959.898,30489.11,31544.838,31197.414,31398.604,-Inf,0
0,1,53,94011.1,93860.13,93935.62,93739.63,92127.1,94803.09,94802.71,94133.71,57393.355,57266.348,57326.574,57182.57,55841.57,57957.86,57756.844,57771.566,31120.209,31025.926,31045.693,30950.998,30146.238,31498.68,31453.455,31405.02,-Inf,0
