Ix,t,l,g.300.41N.2E,g.300.42N.2E,g.300.41N.3E,g.300.42N.3E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.2E,g.500.42N.2E,g.500.41N.3E,g.500.42N.3E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.2E,g.700.42N.2E,g.700.41N.3E,g.700.42N.3E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
1,1,33,91727.27,91483.39,91871.34,91449.3,90818.23,94679.91,92580.766,93353.41,55817.883,55688.465,55860.44,55652.867,55402.867,57670.12,56446.625,56898.176,30129.473,30022.771,30145.72,30031.775,29806.783,31005.021,30550.273,30690.713,-Inf,1
1,1,34,92736.71,92587.664,92666.21,92523.67,91926.33,94232.19,93108.76,93974.7,56690.87,56563.195,56649.918,56525.72,56030.676,57412.625,56627.164,57497.88,30658.527,30617.545,30634.828,30572.525,30250.248,30974.49,30606.781,31117.31,-Inf,1
1,1,35,93757.83,93615.875,93599.97,93449.96,92557.97,94038.88,93656.87,94553.84,56983.023,56880.508,56908.08,56807.035,56256.047,57473.79,57015.812,57811.047,30842.848,30764.09,30798.863,30715.553,30413.56,31017.543,30750.844,31282.277,-Inf,1
1,1,36,93722.77,93494.6,93781.2,93547.67,92879.25,94467.25,91889.734,94112.26,57132.25,56969.508,57159.953,57010.727,56467.234,57611.637,55880.918,57510.19,30825.047,30717.31,30825.771,30696.82,30365.332,31157.775,30073.793,31118.035,-Inf,1
1,1,37,92910.48,92707.016,92957.984,92755.484,92152.39,94536.414,91072.45,94086.39,56651.926,56440.87,56707.195,56546.598,56056.906,57713.348,55118.61,57362.84,30553.482,30404.97,30599.744,30452.783,30206.988,31242.02,29626.498,31009.264,-Inf,1
1,1,38,91683.79,91275.336,91733.41,91367.3,90657.305,94462.84,92437.84,94915.36,56135.465,55875.16,56123.285,55880.918,55245.75,57697.42,56125.027,57694.746,30187.12,30087.145,30202.125,30028.568,29712.398,31212.11,30232.654,30999.121,-Inf,1
1,1,39,93586.56,93294.016,93520.66,93209.53,91928.055,94873.59,93708.98,94801.56,56873.016,56652.996,56804.09,56584.34,55758.863,57838.08,56772.773,57705.05,30637.932,30519.227,30588.463,30465.72,29950.947,31166.262,30573.975,31035.965,-Inf,1
1,1,40,94427.21,94267.24,94445.6,94271.266,93470.27,95116.13,92757.21,94336.21,57450.5,57296.19,57432.434,57278.93,56623.688,58099.723,56109.5,57624.215,30968.178,30840.88,30942.201,30835.707,30418.941,31428.41,30196.123,31093.922,-Inf,1
1,1,41,93844.62,93526.21,93861.67,93600.55,92700.12,95002.72,90975.71,94781.06,57199.03,56981.555,57253.77,57052.617,56486.508,58193.54,55642.293,57980.344,31000.88,30880.105,31039.795,30905.564,30576.871,31656.611,30197.88,31367.14,-Inf,1
1,1,42,93646.336,93276.2,93613.766,93249.766,91891.266,94920.34,93091.71,94926.664,57211.746,56936.05,57186.85,56944.75,56088.758,58190.594,56801.01,58101.73,31044.348,30925.54,31045.797,30892.316,30474.104,31636.533,30883.52,31386.287,-Inf,1
1,1,43,94374.53,94160.53,94355.37,94145.016,93271.414,95220.93,92683.45,94866.51,57662.758,57520.363,57653.125,57506.31,57018.758,58306.625,56484.633,58053.28,31205.693,31129.936,31199.691,31122.277,30882.486,31643.984,30513.018,31457.49,-Inf,1
1,1,44,93670.47,93359.92,93716.45,93419.88,92704.91,94969.96,91734.37,94767.46,57151.52,56974.594,57199.832,57025.85,56540.574,58113.773,55951.043,57982.887,30959.588,30869.031,30963.312,30872.758,30677.57,31495.266,30237.312,31450.246,-Inf,1
1,1,45,93281.18,92919.09,93314.71,92969.09,91987.63,94644.66,91813.1,94566.68,56714.29,56539.24,56763.81,56570.555,56022.242,57862.57,56029.74,57738.242,30609.162,30496.148,30649.938,30509.602,30299.615,31289.418,30295.682,31168.85,-Inf,1
