Ix,t,l,g.300.41N.1E,g.300.42N.1E,g.300.41N.2E,g.300.42N.2E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.1E,g.500.42N.1E,g.500.41N.2E,g.500.42N.2E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.1E,g.700.42N.1E,g.700.41N.2E,g.700.42N.2E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,58,94533.35,94425.3,94485.836,94363.8,93541.92,94717.45,94073.37,93769.9,57624.75,57538.695,57572.69,57477.668,56749.22,57856.15,57319.883,57238.645,31095.783,31007.607,31047.867,30971.592,30434.777,31341.062,30943.34,30923.78,-Inf,0
0,1,59,93718.75,93561.84,93892.32,93712.81,93719.33,94872.83,92452.21,93946.34,57227.27,57136.26,57327.777,57247.21,57113.242,57962.008,56068.55,57284.95,30950.998,30883.934,31018.475,30947.479,30800.002,31414.23,30133.51,30836.018,-Inf,0
0,1,60,93187.88,92953.01,93358.01,93117.95,93041.516,94954.44,90920.53,94132.375,56868.332,56707.062,56932.84,56768.895,56680.43,58114.176,55393.902,57466.426,30708.72,30646.729,30724.246,30659.459,30653.975,31561.293,29901.479,31130.246,-Inf,0
0,1,61,93248.23,92825.8,93400.73,93035.38,92746.29,95021.305,90973.79,94544.84,56758.855,56501.63,56863.51,56634.125,56423.34,58230.88,55666.383,57784.01,30691.438,30573.25,30771.955,30638.967,30483.21,31649.262,30140.443,31377.697,-Inf,0
0,1,62,93101.09,92723.11,93067.57,92675.98,91053.49,94611.516,93169.49,94651.555,56832.867,56562.793,56786.83,56511.133,55752.57,57979.54,56733.562,57867.254,30815.525,30682.02,30790.998,30669.291,30225.72,31533.041,30664.012,31225.77,-Inf,0
0,1,63,93443.26,93108.375,93379.27,93053.77,92010.81,94598.87,92819.86,94785.27,57161.69,56955.188,57117.395,56896.703,56048.34,58030.13,56759.66,57927.344,30964.658,30839.846,30920.88,30791.412,30321.14,31601.863,30766.885,31228.15,-Inf,0
0,1,64,93548.24,93244.4,93603.805,93311.836,92222.89,94711.33,91585.89,94235.25,57089.824,56908.08,57118.465,56930.965,56208.54,58029.996,55840.23,57520.76,30856.613,30740.908,30863.133,30738.113,30262.875,31531.902,30132.371,31073.637,-Inf,0
0,1,65,92963.54,92796.1,93136.16,92978.1,92548.58,94960.57,91304.08,93819.71,56583.27,56426.816,56717.1,56554.36,56398.58,58026.516,55675.082,57134.79,30486.42,30409.213,30578.217,30482.176,30457.441,31478.19,30013.975,30768.23,-Inf,0
0,1,66,92672.53,92118.484,92791.88,92244.92,91613.48,94978.01,91793.945,94188.89,56393.094,56164.64,56463.355,56210.145,55839.695,58019.156,56012.61,57438.188,30329.523,30213.303,30306.031,30229.55,30030.533,31391.566,30318.555,31020.027,-Inf,0
0,1,67,93109.72,92769.664,93143.24,92809.125,92136.11,94921.68,91466.73,93813.77,56793.92,56598.258,56832.195,56638.004,56217.24,58204.78,55835.68,57302.75,30774.543,30708.824,30789.549,30711.309,30393.068,31594.826,30227.791,31017.75,-Inf,0
0,1,68,92900.51,92570.42,93019.484,92693.03,92389.375,95240.47,90659.41,93863.01,56753.637,56546.332,56851.87,56647.773,56324.57,58220.035,55442.617,57253.367,30673.844,30563.625,30735.318,30594.568,30446.885,31647.607,30012.629,30959.07,-Inf,0
0,1,69,92455.28,91914.26,92621.19,92143.195,91130.12,95156.75,91766.164,93727.18,56267.824,56041.246,56333.805,56084.477,55625.297,58136.523,56092.773,57199.566,30459.098,30350.533,30436.846,30340.287,29968.336,31524.555,30438.088,30883.83,-Inf,0
0,1,70,92622.53,92260.445,92744.56,92375.97,91815.98,95009.04,92447.42,93477.55,56548.875,56336.348,56599.863,56372.348,55843.844,58036.688,56288.438,57201.574,30716.896,30596.121,30717.932,30592.914,30173.664,31457.18,30320.623,30820.39,-Inf,0
0,1,71,93576.41,93398.234,93545.37,93410.88,92747.25,95042.375,92503.75,94539.29,57067.605,56922.4,57085.676,56942.473,56518.895,58236.23,56183.11,57684.17,30929.16,30866.133,30945.201,30860.13,30547.17,31634.67,30146.135,31027.375,-Inf,0
0,1,72,93420.266,93142.86,93526.41,93275.24,92733.266,94857.31,90681.25,94689.3,56809.58,56553.957,56902.457,56669.457,56256.316,58245.062,55194.758,57713.48,30535.992,30401.969,30608.748,30444.71,30255.734,31655.473,29647.508,31169.988,-Inf,0
0,1,73,91889.55,91292.58,91806.98,91196.02,90326.445,94459.97,92564.48,94663.43,55849.465,55625.965,55767.023,55573.77,54911.3,57830.316,56212.953,57697.29,30116.33,29995.863,30065.41,29963.16,29441.143,31182.406,30336.148,31061.113,-Inf,0
0,1,74,92677.516,92374.05,92607.01,92310.06,91424.96,94335.06,92430.945,94788.914,56134.797,55924.547,56113.383,55910.36,55446.094,57688.055,55606.293,57755.1,30240.107,30123.574,30230.275,30119.848,29754.83,31101.27,29628.775,31046.521,-Inf,0
0,1,75,93781.78,93373.33,93749.21,93362.8,91347.76,95008.27,92132.27,94863.82,56907.277,56683.777,56894.293,56648.043,55664.508,58094.77,55876.77,57841.56,30585.875,30451.336,30572.422,30433.639,29988.93,31445.898,29883.367,31180.855,-Inf,0
0,1,76,93986.58,93664.15,93995.586,93670.664,92248.56,95297.56,92275.58,94620.71,57188.055,56918.785,57185.78,56913.03,56053.293,58468.027,56250.83,57924.535,30910.635,30752.912,30917.467,30750.637,30316.38,31826.959,30351.879,31386.184,-Inf,0
0,1,77,93850.94,93643.266,93904.01,93683.5,92862,95361.74,92430.76,94362.08,57421.06,57227.67,57470.31,57267.152,56598.66,58494.66,56171.332,57684.305,31116.379,30968.074,31141.32,30991.36,30588.877,31840.104,30157.83,31154.879,-Inf,0
0,1,78,93901.13,93652.08,93978.15,93741.55,93089.6,95113.07,91040.66,94259.58,57001.76,56767.688,57086.477,56865.254,56433.242,58332.457,55124.9,57295.258,30596.225,30490.973,30643.21,30510.016,30336.045,31632.29,29288.803,30825.771,-Inf,0
0,1,79,92951.28,92488.62,93198.23,92797.25,92350.68,95130.695,90966.125,94566.11,56314.668,56051.953,56494.402,56213.89,55956.934,58255.1,55214.434,57538.832,30185.463,30030.016,30240.729,30062.203,29887.197,31578.473,29512.76,30941.684,-Inf,0
0,1,80,93340.57,92877.14,93384.63,92965.65,92130.17,95205.22,92631.15,94941.6,56941.54,56757.785,56952.11,56732.89,56257.387,58359.355,56388.543,58007.777,30799.07,30722.797,30771.748,30692.059,30259.77,31643.26,30453.508,31303.598,-Inf,0
0,1,81,94000.56,93814.54,93892.516,93683.5,92564.48,94864.59,93857.65,94961.53,57428.418,57262.2,57387.2,57210.67,56481.152,58231.68,57085.14,57986.367,31107.168,31029.135,31078.19,30990.117,30620.441,31625.148,30761.398,31217.387,-Inf,0
0,1,82,94828.19,94659.6,94818.61,94653.086,93889.06,95016.7,93350.53,95139.125,57947.82,57860.297,57918.78,57840.086,57324.03,58334.062,56621.812,57980.344,31307.115,31259.82,31297.594,31249.574,31018.889,31694.592,30343.393,31255.887,-Inf,0
0,1,83,95068.05,94950.03,95096.59,94985.48,94631.055,95360.98,92916.984,95151,58152.316,58062.785,58176.406,58096.645,57861.633,58601.86,56366.594,58205.582,31554.463,31467.426,31554.256,31473.738,31347.168,31909.754,30190.223,31558.914,-Inf,0
0,1,84,94967.086,94847.16,94999.66,94890.64,94588.72,95250.625,93266.05,95163.07,58159.145,58030.664,58180.957,58068.67,57799.27,58582.723,56645.5,58403.254,31645.848,31580.854,31672.86,31602.795,31476.533,31956.324,30518.088,31856.352,-Inf,0
0,1,85,94459.97,94382,94482.58,94405.56,94123.56,94791.02,92411.984,94794.47,57780.266,57649.242,57824.027,57708.797,57420.523,58223.25,56149.52,58139.47,31376.455,31275.447,31403.467,31297.697,31156.016,31698.94,30206.264,31768.28,-Inf,0
0,1,86,93983.13,93823.734,94037.734,93893.664,93651.125,94639.67,90487.75,94264.75,57293.65,57129.57,57359.63,57213.617,57026.117,58025.58,55176.42,57657.406,30938.268,30818.734,30994.775,30864.271,30739.977,31557.982,29694.701,31316.43,-Inf,0
0,1,87,93650.164,93429.08,93799.21,93612.62,93440.58,94568.6,90522.62,93531.195,57123.15,56940.734,57229.68,57057.168,56955.457,57976.195,55287.24,57036.426,30815.836,30682.02,30888.592,30748.049,30702.305,31539.56,29803.574,30756.742,-Inf,0
0,1,88,93955.92,93688.48,94130.45,93947.5,93776.414,94698.875,91649.49,93577.37,57528.39,57332.06,57627.562,57469.105,57355.348,58114.58,55853.883,57097.316,31306.08,31178.268,31394.049,31277.518,31178.06,31766.312,30181.53,30890.766,-Inf,0
0,1,89,94234.1,93887.15,94244.64,93928.15,93030.02,94864.016,93746.15,94744.47,57776.516,57584.6,57829.78,57607.49,57021.3,58235.293,57147.24,57959.734,31645.434,31470.428,31692.938,31517.62,31197.621,31946.39,31014.646,31598.344,-Inf,0
0,1,90,94610.17,94444.07,94601.164,94445.22,93795.57,94842.17,93832.55,94872.06,57887.73,57759.117,57882.914,57752.695,57264.207,58207.188,57306.9,58294.984,31547.322,31446.312,31555.084,31444.037,31085.332,31893.299,31162.02,31955.084,-Inf,0
0,1,91,93721.81,93522.19,93679.28,93491.34,92475.2,94216.28,93657.83,94640.25,57204.117,57075.637,57176.812,57032.543,56279.6,57717.63,57236.906,57964.15,31032.137,30928.229,31010.92,30889.938,30302.41,31420.646,31113.17,31542.664,-Inf,0
0,1,92,93368.16,93220.836,93354.75,93192.67,92134.766,93895.77,92614.29,94280.84,56894.965,56782.68,56847.453,56733.695,56016.49,57392.688,56319.22,57610.43,30726.521,30661.736,30695.268,30621.994,30084.764,31134.8,30371.543,31156.223,-Inf,0
0,2,1,89249.38,89006.45,89429.47,89132.9,88829.82,92349.72,89204.93,91921.34,54330.74,54215.91,54391.23,54282.69,53968.99,56216.434,54291.39,55772.914,29035.04,28900.291,29039.385,28907.432,28766.06,30269.809,29229.088,29975.477,0,0
0,2,2,89974.7,89615.68,89944.81,89601.695,88973.31,92926.76,90487.18,91545.66,54973.133,54864.06,54958.41,54841.04,54428.836,56530.54,55498.56,55779.875,29743.238,29675.244,29712.295,29649.785,29306.707,30549.445,30181.219,30131.232,0,0
0,2,3,90523.195,90512.85,90365.336,90371.08,90170.88,92769.664,92083.42,90883.37,55362.184,55339.7,55268.633,55255.918,55013.95,56410.223,56268.63,55638.145,30012.836,30015.424,29953.121,29935.63,29608.594,30441.4,30669.084,30197.156,0,0
0,2,4,91238.75,91188.555,91170.55,91059.234,90771.29,92334.39,92515.24,92587.47,55779.203,55766.223,55738.387,55726.207,55440.742,56277.996,56583.133,56571.758,30260.08,30279.123,30214.234,30228.412,29914.934,30359.227,30902.977,30803.625,0,0
0,2,5,90766.695,90608.26,90623.2,90552.51,90680.1,91494.51,91406.38,93285.97,55493.203,55459.746,55434.99,55441.01,55455.73,55767.83,55867.8,57061.05,30122.643,30112.086,30098.115,30064.17,29966.68,30132.682,30231.932,31027.893,0,0
0,2,6,90774.164,90705.96,90696.58,90724.55,90666.69,91847.97,92341.29,93576.41,55477.95,55454.793,55427.492,55444.49,55447.168,56074.17,56318.28,57113.242,29961.814,29985.62,29954.777,29952.293,29923.316,30381.79,30392.861,30833.533,0,0
0,2,7,91322.85,91351.2,91147.36,91215.375,91207.71,91530.14,92244.16,93686.375,55870.61,55850.535,55800.082,55794.863,55704.527,56073.77,56425.08,57093.57,30268.049,30248.8,30238.14,30224.375,30016.355,30453.094,30563.107,30785.307,0,0
