g.300.,g.500.,g.700.,g.300.45N.10W,g.500.45N.10W,g.700.45N.10W,g.300.35N.10W,g.500.35N.10W,g.700.35N.10W,g.300.45N.5E,g.500.45N.5E,g.700.45N.5E,g.300.35N.5E,g.500.35N.5E,g.700.35N.5E,g.300..lag1,g.500..lag1,g.700..lag1,g.300.45N.10W.lag1,g.500.45N.10W.lag1,g.700.45N.10W.lag1,g.300.35N.10W.lag1,g.500.35N.10W.lag1,g.700.35N.10W.lag1,g.300.45N.5E.lag1,g.500.45N.5E.lag1,g.700.45N.5E.lag1,g.300.35N.5E.lag1,g.500.35N.5E.lag1,g.700.35N.5E.lag1,"poly(g.300., 2)1","poly(g.300., 2)2","poly(g.500., 2)1","poly(g.500., 2)2","poly(g.700., 2)1","poly(g.700., 2)2","poly(g.300.45N.10W, 2)1","poly(g.300.45N.10W, 2)2","poly(g.500.45N.10W, 2)1","poly(g.500.45N.10W, 2)2","poly(g.700.45N.10W, 2)1","poly(g.700.45N.10W, 2)2","poly(g.300.35N.10W, 2)1","poly(g.300.35N.10W, 2)2","poly(g.500.35N.10W, 2)1","poly(g.500.35N.10W, 2)2","poly(g.700.35N.10W, 2)1","poly(g.700.35N.10W, 2)2","poly(g.300.45N.5E, 2)1","poly(g.300.45N.5E, 2)2","poly(g.500.45N.5E, 2)1","poly(g.500.45N.5E, 2)2","poly(g.700.45N.5E, 2)1","poly(g.700.45N.5E, 2)2","poly(g.300.35N.5E, 2)1","poly(g.300.35N.5E, 2)2","poly(g.500.35N.5E, 2)1","poly(g.500.35N.5E, 2)2","poly(g.700.35N.5E, 2)1","poly(g.700.35N.5E, 2)2",STAID
,,,,,,,,,,,,,,,-1.87444537367742,2.89962766877759,,3.48476498753575,,-2.04266111220501,2.72968915908565,-1.6792376858465,,2.89425639447582,,,1.76170618974824,,-2.16619576083716,1.14732810184973,-1.90488278627274,1.60417707807602,-0.143202617475392,,,-1.47144155741209,2.55345606133789,2.47905822787601,-3.77982617802934,,,1.42963034695446,-2.48183436202814,,,-3.09064566076873,3.37587407839831,,,1.33688201186708,-2.09616667638113,,,2.86142557959952,-2.27582889518549,,,,,232
,,,,,,,,,,,,,,,,,4.67709908312251,1.6596192971099,,,,,-3.46743108638067,,,,3.74086816165225,,-2.33255409493379,2.98577931307208,-3.49744847891242,,,3.26176928600993,-0.938031087520986,-2.41893606542706,2.07669228726686,3.01504095878475,-1.60246688398641,-3.84896721808588,0.91159931964534,,,,,,,,,2.18844774897731,-1.67088701240328,-2.59315342091994,1.94068471311426,,,,,,,233
,,,,,,,,,,,,,,,,,,-4.58341859400457,7.03195191506578,,,2.76394723080062,-3.30102579531669,,-3.2722256365646,2.52250014493159,,,-4.03789995373058,,,,,5.26879640673154,-0.470615593628429,-2.15210665128062,0.600238185853456,3.21380464347621,-2.49648020154563,-7.87218302014288,3.16594905355527,,,0.894459018354853,-3.14207481400422,-1.05847825496084,2.666782530956,,,3.74035790629491,-1.67661495008461,,,,,,,,,234
,,,,,,,,,,,,,,,,,3.68925924859111,,1.90607386878575,-2.84264703660867,,,-2.81349965664232,,,3.82859144528276,,,,0.706189146763314,0.658453513893676,1.07811077324084,-2.23979252686473,-1.65464597600631,2.01960882551622,1.92963231778119,-1.42742134203884,-1.73998134014208,1.70881995080115,2.20392822902211,-0.547608364400156,,,,,,,,,2.8817871706338,-3.08099579236048,-3.3979688425176,3.30121388634736,,,-0.0960502448629333,1.64589831823893,,,236
,,,,,,,,,,,,,,,1.60892074976278,,,-1.6665468537482,2.63511010191956,-3.75160261050568,,,-4.84267184784202,,,6.71829326602746,2.01617902668861,-3.14294345640513,4.01062032805429,,,4.04912496122909,-2.49550602615776,-4.21369685925531,1.61641705010061,,,,,-1.77200898444484,2.51328432803823,,,1.01186430465078,-2.63341814726089,2.42693737862144,1.66017276810029,3.50303588621362,-2.27738032594145,,,-5.05490741332057,3.10686648938934,,,,,,,237
,,,,,,,,,,,,,,,-2.65565967123507,,4.00532589266404,,5.26774018385305,-4.74237629145687,2.05559341721758,,,,2.48769235616756,-1.4550941361912,,,-2.46631271416911,,,2.49720615224412,-2.00488399922207,-1.4234087014878,2.52505523631187,,,,,-3.73116824906708,-2.19568294182155,1.93768562104014,-1.99834578823811,,,-2.83556883466861,1.35496316377152,,,1.74337107269784,-2.07752279418649,,,1.41841659590021,0.129670009483869,,,2.56189564302833,-1.82549320475763,238
,,,,,,,,,,,,,,,,,1.70482107851703,,1.77265889667169,-3.13199755092355,,2.39397837351633,-2.24650702038632,,3.33775192737299,,,,,-1.78070376008145,2.5337928964794,2.43813702412025,-3.59196800740751,-1.95738175595895,2.35916793996142,,,2.31295657540018,2.61740288395517,,,,,1.74869883937439,-2.802224229955,-1.59132401060802,2.35851941793143,,,,,-0.773570515473712,3.71330110070675,2.08484098237403,-1.35023542886817,-2.43354573964065,1.92078416457331,2.26973598360584,-1.28928086726965,2969
,,,,,,,,,,,,,,,,,2.98710385972425,,,,,,,,3.01319922619248,,,,,,,,,,,,,2.11821769190136,0.324271165516256,-2.2411848853963,0.228722378671695,,,2.77269591378283,-1.74240933979114,-3.0565251989531,1.8183096173561,3.2678820755124,-3.34051703361477,,,-2.14934526400938,4.07043431361944,,,,,,,335
,,,,,,,,,,,,,,,-3.65005914986184,1.45789147691693,2.49543770748052,,1.9528684830767,-2.61563677637906,1.79263234374111,,,,3.60046279928547,-3.26887832904261,1.834598046222,-1.81487056268228,,-0.16698452404052,-0.598270211494977,2.72321127297314,0.703239126887547,,,,,,,-5.52952888290074,-1.29126518816805,-0.289554097856812,-0.983373208616094,,,,,,,,,-1.8964377267682,-3.45963044590301,1.70321944046737,-0.264847816962259,-1.07816400072759,-1.25676394331666,0.902073788844174,1.07405924979789,336
,,,,,,,,,,,,,,,,,,,5.78292740731066,,,,,,,,3.56260686175187,-3.21840122584695,,,,3.06410680958075,-2.38875993299881,-1.27181560472505,3.04148495568152,-1.92295124112544,0.631698271138745,2.73569570705006,-0.223622012739523,-5.60722470438014,-1.20297579707135,2.8815026373559,-2.09510394695254,-2.87306946142295,0.978541234862992,2.50643848515198,-1.37152208926753,-1.9853680150267,0.871500172016753,2.86658352168155,-1.39788992466883,,,,,,,2.55855730305776,-0.948796883127849,3905
