"STAID";"predict.test";"t";"l"
"232";0,10849159248117;54;37
"232";0,0878443199717178;54;38
"232";0,0329209072580105;54;39
"232";0,00261696054009046;54;40
"232";0,000630629252369362;54;41
"232";0,00249954524513537;54;42
"232";0,00118470942247432;54;43
"232";0,000475813353006568;54;44
"232";0,00165906396989659;54;45
"232";0,00383601584288068;54;46
"232";0,00659408067584358;54;47
"232";0,0041287772084245;54;48
"232";0,00338290290254964;54;49
"232";0,00271748266925282;54;50
"232";0,00371682752300905;54;51
"232";0,0173973155469316;54;52
"232";0,00922440201866881;54;53
"232";0,0469325437026734;54;54
"232";0,0602915508216492;54;55
"232";0,0128765246660452;54;56
"232";0,000110383362582564;54;57
"232";4,02421176177128e-06;54;58
"232";0,0109378166362699;54;59
"232";0,0748714856702122;54;60
"232";0,333136369439685;54;61
"232";0,260960872043877;54;62
"232";0,0572379829896507;54;63
"232";0,029593310806875;54;64
"232";0,0690303431112529;54;65
"232";0,033084307927855;54;66
"232";0,00206588528628441;54;67
"232";1,87543861486363e-05;54;68
"232";0,000754099613248165;54;69
"232";0,0215160667914347;54;70
"232";0,160976400840684;54;71
"232";0,141268218501862;54;72
"232";0,0088728234105762;54;73
"232";0,00606247553257547;54;74
"232";0,0207669461083851;54;75
"232";0,0524301455417553;54;76
"232";0,023201205806662;54;77
"232";0,0184268769635529;54;78
"232";0,0469569196809805;54;79
"232";0,0791633631564968;54;80
"232";0,0611884122896004;54;81
"232";0,23203130742438;54;82
"232";0,0577596914837942;54;83
"232";0,0136366535046894;54;84
"232";0,00737228700391079;54;85
"232";0,00275931805343857;54;86
"232";4,20584047098432e-05;54;87
"232";3,94768481106358e-05;54;88
"232";4,5001399909611e-06;54;89
"232";3,58479127817931e-06;54;90
"232";0,000489351982588131;54;91
"232";0,00397167328744156;54;92
"232";2,3197392739086e-07;55;1
"232";4,31050577844513e-06;55;2
"232";8,66756561408596e-05;55;3
"232";9,16767245637114e-07;55;4
"232";7,14502555313053e-06;55;5
"232";6,95136062809053e-06;55;6
