"STAID","g300..lag1","g500..lag1","g700..lag1","g300.45N.10W.lag1","g500.45N.10W.lag1","g700.45N.10W.lag1","g300.35N.10W.lag1","g500.35N.10W.lag1","g700.35N.10W.lag1","g300.45N.5E.lag1","g500.45N.5E.lag1","g700.45N.5E.lag1","g300.35N.5E.lag1","g500.35N.5E.lag1","g700.35N.5E.lag1","poly(g300., 2)1","poly(g300., 2)2","poly(g500., 2)1","poly(g500., 2)2","poly(g700., 2)1","poly(g700., 2)2","poly(g300.45N.10W, 2)1","poly(g300.45N.10W, 2)2","poly(g500.45N.10W, 2)1","poly(g500.45N.10W, 2)2","poly(g700.45N.10W, 2)1","poly(g700.45N.10W, 2)2","poly(g300.35N.10W, 2)1","poly(g300.35N.10W, 2)2","poly(g500.35N.10W, 2)1","poly(g500.35N.10W, 2)2","poly(g700.35N.10W, 2)1","poly(g700.35N.10W, 2)2","poly(g300.45N.5E, 2)1","poly(g300.45N.5E, 2)2","poly(g500.45N.5E, 2)1","poly(g500.45N.5E, 2)2","poly(g700.45N.5E, 2)1","poly(g700.45N.5E, 2)2","poly(g300.35N.5E, 2)1","poly(g300.35N.5E, 2)2","poly(g500.35N.5E, 2)1","poly(g500.35N.5E, 2)2","poly(g700.35N.5E, 2)1","poly(g700.35N.5E, 2)2"
414,-2.82686215149865,NA,3.51511244846146,NA,2.25451582673105,-1.82817804093574,NA,NA,NA,NA,NA,-1.44361991843663,-2.19262772586241,1.83616623090791,-1.91425911436421,-1.95679241151665,-1.09835483519664,1.43656347481651,1.54362694010956,2.01048329032572,0.618298357564829,NA,NA,2.12902773263504,-2.25194096369053,-5.30559981010143,-0.606208071160579,-2.61589458455351,-0.808282484711195,NA,NA,NA,NA,NA,NA,2.31080971047567,-1.31463621077094,-2.11698800363357,1.68490039834797,-1.44609578269284,5.24065748818309,NA,NA,2.26938494117477,-4.50588102677292
416,-1.78662073599468,NA,4.40126426313368,1.76204903348602,NA,-2.4442472119301,NA,-1.87847429856079,NA,NA,3.01468502538957,-3.26447699882517,-3.31594988339274,2.37191974751374,NA,0.296038936054277,-2.40773636134111,0.174957778171518,2.02112728543592,1.83289882431087,0.742598034988969,NA,NA,-1.67425037873821,-3.50187717562887,NA,NA,-1.95801915865425,1.94253562249536,1.83976992523424,-2.35239640775619,NA,NA,-2.80842498171271,0.737909590681365,3.19149694568202,-1.62133653607095,-3.40526410168291,2.20699482099345,-2.08765614064776,3.64666309782984,2.16673153219326,-1.73426042131125,-2.13576952519833,-0.803186496279568
420,1.77987066377232,-1.77110690514198,NA,-2.55845254777913,3.31053155386993,NA,-4.35911645666385,3.67317481120673,-2.39087398783279,-1.52933449036555,NA,NA,-2.32462948853545,1.68582561651506,NA,0.922370744601339,1.81457256534281,-1.26530747162342,-0.931032605649036,3.90124430574568,-0.205674585836941,-2.60694175998831,-3.49810663596447,3.91841540704213,2.37857052821652,-6.3904002686505,-0.38857992116089,0.538998637686659,1.84785677643922,-0.917013230363649,-1.83740636694879,NA,NA,-1.63884182362007,2.22043569979836,1.73655009708562,-2.6337673524738,-1.05920281915066,3.1930746877991,NA,NA,1.76257373738655,2.20748002378497,-1.52119368964752,-2.07807331680149
421,NA,-1.43005768102647,3.48313425260292,NA,1.8939944017884,-3.44975573417718,-3.99198020941774,NA,NA,NA,2.70526086644551,NA,-3.20202023203261,NA,NA,NA,NA,-0.230549480869198,-2.05032616270591,2.47420063293938,1.78050280673845,NA,NA,NA,NA,-3.63436779226229,-1.93854299826223,-2.60542422448363,1.20419683147435,NA,NA,5.68042595204656,-0.84431555186035,NA,NA,3.97010179541281,-2.10502990922878,-7.06162589991721,0.898352447801486,-2.81546806360132,2.79821587162712,2.85678560072981,-0.120733223489711,-2.08491972630538,-1.65751650166991
423,NA,NA,NA,NA,NA,NA,-2.78946030661157,2.47746173188116,NA,NA,2.41278315376234,-1.95992447721289,-1.62278797390002,NA,NA,-2.02039373326557,2.43523400748215,1.43168585585466,-2.38922438803113,2.68330020360992,3.59924675880543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88538183176475,-1.49458723626428,NA,NA,3.03984508020856,-2.14320559082656,-3.99156629119511,2.00086480679855,-3.42257097444434,1.88982968032886,2.05438427168861,0.435844217886086,-0.976786334344552,-2.89749231994006
424,-2.59692762111625,2.96837846232133,NA,NA,2.94460468709773,-2.96021293597157,NA,-1.73836933991163,1.52301568306865,-1.57580147011765,2.438961753616,-2.83881301643184,-1.80427400992577,NA,NA,-1.14656922126301,-1.24153639367023,1.63981535839344,1.20320861478344,1.22162439417984,1.76916187001639,NA,NA,NA,NA,-4.96620905743449,-4.77125183067913,-4.1375874825338,1.50458845240295,3.39460374808023,-1.38288417088459,-2.050638855609,0.724095819299493,-1.60874917208888,1.76514057264452,1.86070685999227,-2.09788000059006,-2.69517312719518,1.32272183156262,-1.89949807680855,4.03794022732828,NA,NA,2.14832776935623,-3.89608585804912
1393,NA,-3.37584851638767,NA,-3.5471225764725,5.27728983188908,NA,-2.81806720054047,2.76184037665287,-2.03093262533899,NA,NA,NA,-2.80493385949796,2.24807599762668,-1.78827684930185,NA,NA,NA,NA,6.34795885382209,2.40354840175485,-2.3445014793659,-0.387515981412172,3.16148044551646,-0.191346622016309,-6.77362340854694,-0.0552913838056384,-3.1059712976203,0.970858108192758,NA,NA,2.56037284953638,-2.07841120614061,NA,NA,2.10657190132246,-0.58832703107898,NA,NA,1.1815670717811,4.35046950157979,NA,NA,0.0696670111620824,-3.53764319317056
1394,NA,NA,NA,-3.95257985448051,3.97929172450327,-2.21465072497861,-2.47465632945827,1.88973728459238,NA,-2.88998904473087,NA,NA,-2.25156195028565,NA,NA,NA,NA,NA,NA,6.14600172461769,NA,-3.08122673684843,NA,3.62500577757843,NA,-5.28385196433115,NA,NA,NA,NA,NA,-2.48059461033684,NA,NA,NA,1.8655230092254,NA,NA,NA,-1.46860270269106,NA,2.38012249651733,NA,-1.98333527428964,NA
1396,NA,NA,NA,NA,4.31276095755507,NA,-3.16119959086108,2.23074096373664,-2.03488892424421,NA,NA,NA,NA,NA,NA,0.112838027130896,-2.71869454238407,0.106337042488822,2.69862936003881,2.24860221395161,0.589822994025188,-2.39732078840173,0.678175119547879,3.1100774252836,-0.718471322463873,-4.62145926912368,-1.03304176530074,-1.79713112366504,2.34066341582265,1.10573919787678,-2.79968128079095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143290585174422,2.77909634535999,-0.385552611405414,-2.46812878864509
1397,NA,NA,4.62952954588303,NA,NA,NA,-3.25877779346912,NA,NA,-1.80860948369241,2.59873615442317,-3.01772471826831,-1.94052787344912,2.22088871913163,-1.95251089461394,-1.33611399556389,-2.82927781850337,2.54665630361647,5.9376455077963,NA,NA,NA,NA,2.08916399921679,-2.38112783104687,-3.51227368731722,-0.304518258355504,-3.60327527101757,1.41432116574118,3.75901026783606,-2.03856036641999,NA,NA,NA,NA,NA,NA,NA,NA,-1.28529150046537,3.83598394722329,NA,NA,1.69803356270091,-3.51312332105732
1398,-4.16623416927861,3.75207223757971,NA,NA,2.26472053257178,NA,NA,NA,NA,-1.53374219927515,NA,NA,-1.88250885412424,NA,NA,NA,NA,NA,NA,5.79045830410257,2.93658650060125,NA,NA,NA,NA,-7.42157491310429,-3.63177758640241,-2.9239471888043,1.47160391537926,2.22189240266207,-1.46715755198448,NA,NA,NA,NA,3.54915357283052,-1.4586212763758,-3.68706423010972,1.98231869200965,-0.890352446328885,5.31267558479395,NA,NA,1.84524025383197,-4.21289567028607
1399,NA,NA,1.75941099954301,-1.72441560725763,2.0553495243187,-1.90029959918523,-2.34235682065987,NA,NA,NA,2.69319968186111,-2.70486855361059,-1.7530423374043,1.41874636440522,NA,-1.1076942519931,-2.4556611083287,1.0461954127505,1.82727462554514,1.91311474102495,1.82578367269874,NA,NA,1.99682815651606,0.37504665160569,-3.56841020420527,-3.2784851244928,-3.58302368649827,2.15272197257237,3.02488877174502,-2.49946781587088,NA,NA,NA,NA,1.65388970135787,-1.87162365071626,-1.91469531263767,2.03256528960128,-1.49893891040042,3.68658476067315,NA,NA,0.754080245401113,-3.85451889556693
1401,NA,-2.32591103489867,1.86170851204599,-1.55540788468545,NA,-1.47931149250346,-3.12323431387049,NA,NA,NA,4.83260697266093,NA,-2.6912230506579,2.42288841477773,NA,NA,NA,5.01469068247545,-4.22973894929533,NA,NA,NA,NA,NA,NA,3.72786626650821,3.73845304053523,-3.50532188227113,2.85893612648065,3.8996031311369,-2.86025145769134,NA,NA,NA,NA,4.07595063217356,-0.791460971744879,-6.91202387771766,3.89328634280916,-0.800019340660897,3.50336885973909,0.435966198589002,-2.27508897892867,NA,NA
2969,2.31328958972166,-3.69074166656122,4.57905964274771,-1.94261170627798,1.90298901838485,-2.57447816710527,-1.49994386282851,NA,NA,-2.00436644733978,3.34431973248476,-2.48000983734911,-1.95441071360445,1.42116407458638,NA,1.65767125422562,-3.52915648826849,NA,NA,NA,NA,NA,NA,2.06349710463397,-1.08494164957516,-1.21026433286174,2.65349163135409,-3.39178935912311,1.22960643441607,2.97260685278155,-1.19950310411645,NA,NA,NA,NA,4.27390483984334,-0.752499681500163,-4.97242433201853,2.73865105903474,-1.64289646498901,4.88051872127139,1.5616111876871,-3.24969126550207,NA,NA
3905,-2.49559525574873,NA,2.28185747458115,-2.9642386421944,3.34452478343094,-2.03173464863639,NA,NA,NA,NA,-2.35592547140031,NA,-2.88794343879939,NA,NA,NA,NA,NA,NA,5.42641997362129,3.52265588404568,NA,NA,2.55868294870952,-1.19825480818275,-6.86906102398319,-0.961105591810945,-5.04513482728161,2.68565448278902,3.92308501582666,-3.06094800456678,NA,NA,NA,NA,2.46098159852272,-1.91795516616381,-2.01266085865296,2.37052724606739,0.451296435088345,4.09764758043311,NA,NA,2.23579857110207,-3.00276441322088
3908,NA,-1.77745347745925,2.75260598778534,1.43693874268555,-1.45500800991327,NA,NA,NA,1.88376585585835,NA,NA,-2.6529912868911,-1.54135127773592,NA,-1.4992198999116,-3.09737421053805,1.65307654177092,NA,NA,5.0577890487776,-0.949532763329113,NA,NA,3.2066538930069,-1.47110551968079,NA,NA,-2.83836323171885,0.195981549653144,3.05170579943289,0.338913401992883,-5.60858431615027,-1.12036289501926,NA,NA,2.16424366751964,-0.877792197097012,-1.39316237548971,2.22624783819886,-1.37630004962203,4.3298358760593,2.79644976653437,-4.14714048904686,NA,NA
3910,NA,NA,NA,NA,1.98733552962613,NA,-1.51489122812908,NA,NA,-2.49743892125337,NA,NA,NA,NA,NA,2.24732616194913,NA,-2.68360382772293,NA,4.01395699697669,NA,-2.694957811683,NA,4.08762031952744,NA,-6.49526605126904,NA,-4.18775282760405,NA,5.13850359455952,NA,NA,NA,NA,NA,1.97814840860636,NA,NA,NA,NA,NA,NA,NA,NA,NA
3921,1.4921615348464,-2.03468389100926,3.53422261964191,NA,NA,NA,-1.9998413582559,NA,NA,NA,3.20225078225659,-3.21338616292589,-2.38793230806851,2.17497901747199,-1.79416019370315,NA,NA,NA,NA,6.48427943891759,5.80387589456413,NA,NA,1.26452835669192,1.58224198398575,-1.77890192339323,-2.23002657662744,-2.56271630060943,-0.494655045529687,1.66094301546518,0.146201124751427,-1.72773452448356,-0.927348478701952,-2.83978103506783,0.77872040992592,3.00667890595116,-1.58521560054944,-2.98803268342101,1.79649912525116,-2.72093802588261,3.27218540122366,2.19419222990156,-1.17964404836915,-1.73977725050943,-1.28108278921732
3922,NA,NA,NA,-2.30451143703274,3.41719782602235,NA,-3.5217702627276,NA,NA,-1.59936995419606,NA,NA,-1.59333979297312,NA,NA,NA,NA,NA,NA,4.22939362274419,1.35490421133549,-2.72826481914584,0.277949543496027,3.83470665683658,-1.10769882648132,-7.02470876525277,1.18318571008794,NA,NA,1.37794692343363,2.11745747875276,NA,NA,NA,NA,2.79744057246484,0.0180113984456123,NA,NA,0.942407052857527,2.89240443014676,NA,NA,0.116192519242202,-2.97122616620086
3924,1.78572816828392,-3.1008335218177,3.84240112078126,-2.14782100081043,2.63537817824124,-3.58285409785105,-2.83773198587159,NA,NA,-2.51390645258398,3.80711829366447,-2.37164677308714,-3.03520527265623,NA,1.52268486688469,NA,NA,NA,NA,2.38479115725412,0.354462631378624,NA,NA,NA,NA,-1.18515235413633,5.49205839712157,-2.73515993674097,2.1168043809862,NA,NA,3.95062939410615,-3.27467421364714,3.94443665574677,-4.07664648964857,NA,NA,-6.25305159640223,5.59120448300436,0.530366490758095,3.31157745888907,NA,NA,0.420575705410155,-2.85775547350172
3937,NA,-2.17046277296297,2.81586920169348,1.98255831845399,-3.1643410966496,NA,-2.32960235014944,2.17904852282825,NA,1.73407520872288,NA,NA,-3.34004804496198,1.83818279909407,-1.60559604384159,-2.95382407148965,1.32279604261268,2.35026056209037,-1.15975902232422,0.849573490924781,1.93065252552575,NA,NA,1.88572471176943,-1.790100105401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.30492216020431,-2.70440289143974,-3.61540203533354,1.96583546372268,0.273575279262507,3.02325809469761,NA,NA,0.799807398524466,-2.97040892058635
