"STAID","STAAB","AUC01","AUC02","AUC03","AUC04","AUC05","AUC06","AUC07","AUC08","AUC09","AUC10","AUC11","AUC12","AUC13","AUC14","AUC15","AUC16","AUC17","AUC18","AUC19","AUC20","AUC21","AUC22","AUC23","AUC24","AUC25","AUC26","AUC27","AUC28","AUC29","AUC30","AUC31","AUC32","AUC33","AUC34","AUC35","AUC36","AUC37","AUC38","AUC39","AUC40","AUC41","AUC42","AUC43","AUC44","AUC45","AUC46","AUC47","AUC48","AUC49","AUC50","AUC51"
1397,"LEON V",0.939430000605095,0.936545714919623,0.9431210794893,0.943867363198128,0.94239496561044,0.94529942112588,0.944230420137558,0.941245285302245,0.939530849754937,0.937453357268198,0.942011738841042,0.943827023538192,0.943827023538192,0.943443796768793,0.942616833740092,0.943403457108857,0.944674156396862,0.94336311744892,0.943786683878255,0.944109401157748,0.942233606970693,0.944048891667843,0.943141249319268,0.943161419149237,0.940398152443575,0.943100909659332,0.944311099457432,0.938865245365982,0.94251598459025,0.942778192379838,0.942415135440408,0.943161419149237,0.943060569999395,0.942213437140725,0.943806853708223,0.94009560499405,0.943443796768793,0.943887533028097,0.939470340265032,0.943161419149237,0.94300006050949,0.943584985578572,0.943161419149237,0.944411948607273,0.942818532039775,0.941991569011073,0.940902398192783,0.943806853708223,0.943927872688033,0.943988382177938,0.941890719861232
1398,"LOGRON",0.932019454123113,0.933580139372822,0.93568524970964,0.930476916376307,0.927155923344948,0.928952526132404,0.926557055749129,0.930767276422764,0.932200929152149,0.933580139372822,0.932219076655052,0.933253484320558,0.928843641114983,0.928154036004646,0.928027003484321,0.928008855981417,0.928516986062718,0.928480691056911,0.933761614401858,0.926647793263647,0.927664053426249,0.921747967479675,0.927863675958188,0.927990708478513,0.9329631242741,0.932745354239257,0.928262921022067,0.928172183507549,0.926665940766551,0.933326074332172,0.928462543554007,0.922818670150987,0.931293554006969,0.931438734030198,0.933997531939605,0.929315476190476,0.928752903600465,0.933725319396051,0.927337398373984,0.928861788617886,0.932563879210221,0.928553281068525,0.929261033681765,0.930821718931475,0.929424361207898,0.929642131242741,0.932164634146341,0.929025116144019,0.932436846689895,0.931710946573751,0.928154036004646
1399,"ZAMORA",0.945165296334361,0.941428999657417,0.939084446728332,0.938752569373073,0.938891743747859,0.939330678314491,0.942264045906132,0.940593953408702,0.941900051387461,0.93794964028777,0.940626070572114,0.940304898937993,0.939694672833162,0.941964285714286,0.942338985954094,0.940733127783487,0.939170092497431,0.940283487495718,0.941482528263104,0.939876670092497,0.942210517300445,0.938934566632408,0.941750171291538,0.941942874272011,0.942628040424803,0.940176430284344,0.942852860568688,0.942221223021583,0.940818773552586,0.939127269612881,0.941996402877698,0.937896111682083,0.941482528263104,0.940240664611168,0.940465484755053,0.94268156903049,0.942649451867078,0.941065005138746,0.943120503597122,0.940337016101405,0.940508307639603,0.940593953408702,0.940690304898938,0.941771582733813,0.942199811579308,0.94072242206235,0.940122901678657,0.942488866050017,0.939855258650223,0.94011219595752,0.943837786913327
1401,"REUS/A",0.799200710479574,0.812090839888353,0.780664805886831,0.798058868307536,0.791220502410556,0.796802841918295,0.79128393808678,0.796384166455214,0.795914742451155,0.79720883024613,0.800241055569652,0.800748540979447,0.795534128393809,0.794455721897995,0.797399137274803,0.794100482111139,0.796434914996194,0.797081958893682,0.797335701598579,0.79725957878711,0.8,0.798160365389495,0.797805125602639,0.795483379852829,0.796130423750317,0.797221517381375,0.796587160619132,0.799822380106572,0.792083227607206,0.795394569906115,0.798426795229637,0.79906115199188,0.800241055569652,0.796536412078153,0.798008119766557,0.79775437706166,0.797069271758437,0.797792438467394,0.793910175082466,0.793656432377569,0.797817812737884,0.795001268713525,0.793872113676732,0.790167470185232,0.794531844709465,0.79817305252474,0.797132707434661,0.796523724942908,0.79953057599594,0.798883532098452,0.798337985282923
2969,"BCN/AE",0.83761442550505,0.824060921717172,0.820509785353535,0.818359375,0.817491319444444,0.818773674242424,0.81707702020202,0.821673768939394,0.816504892676768,0.819010416666667,0.818931502525252,0.821792140151515,0.817984532828283,0.813427241161616,0.818004261363636,0.816248421717172,0.811454387626263,0.81182922979798,0.814946338383838,0.819069602272727,0.816011679292929,0.817274305555556,0.814295296717172,0.822324810606061,0.817570233585859,0.817984532828283,0.815498737373737,0.81707702020202,0.81155303030303,0.814749053030303,0.815932765151515,0.81774779040404,0.821239741161616,0.816208964646465,0.826803188131313,0.816465435606061,0.818655303030303,0.817432133838384,0.818596117424242,0.815261994949495,0.81903014520202,0.816840277777778,0.816879734848485,0.808514835858586,0.816840277777778,0.815696022727273,0.817254577020202,0.817215119949495,0.817096748737374,0.814512310606061,0.815755208333333
3905,"VITORI",0.951408287813818,0.94462929025141,0.951301531946693,0.94626621354732,0.946319591480882,0.949397718982972,0.948241197089123,0.947280394285003,0.944095510915787,0.945607885700052,0.945714641567176,0.946586481148693,0.946782200238421,0.945376581321282,0.946657651726776,0.946372969414444,0.945981531234987,0.94626621354732,0.947600661886376,0.946301798836361,0.947315979574044,0.944540327028806,0.945180862231554,0.94557230041101,0.946942334039108,0.946444139992527,0.946070494457591,0.946657651726776,0.946070494457591,0.946693237015818,0.942618721420565,0.94605270181307,0.949006280803516,0.94697791932815,0.947244808995961,0.946301798836361,0.945732434211697,0.947191431062399,0.943241463978791,0.945999323879508,0.945839190078821,0.946141665035674,0.947066882550754,0.945287618098678,0.947084675195274,0.947013504617191,0.947298186929523,0.947725210398021,0.947084675195274,0.944700460829493,0.947511698663772
3908,"ALMERI",0.866691871455577,0.853062381852552,0.860812854442344,0.863251417769376,0.864253308128544,0.860793950850662,0.857920604914934,0.865217391304348,0.861776937618147,0.865765595463138,0.861663516068053,0.863251417769376,0.865746691871456,0.858884688090737,0.861058601134216,0.868223062381853,0.866654064272212,0.865198487712665,0.862741020793951,0.859829867674858,0.860945179584121,0.857145557655955,0.866370510396975,0.863553875236295,0.865009451795841,0.863251417769376,0.86406427221172,0.859754253308129,0.857693761814745,0.858582230623819,0.861455576559546,0.858960302457467,0.862514177693762,0.864914933837429,0.857882797731569,0.860472589792061,0.86179584120983,0.865822306238185,0.857334593572779,0.865368620037807,0.867126654064272,0.865614366729679,0.86304347826087,0.865444234404537,0.867183364839319,0.863383742911153,0.864896030245747,0.860226843100189,0.861379962192817,0.865689981096408,0.85945179584121
3910,"GIJON ",0.685192143467122,0.702374039282664,0.694107600341588,0.664935952177626,0.670298889837746,0.686421861656704,0.669615713065756,0.668625106746371,0.688198121263877,0.685670367207515,0.666575576430401,0.676140051238258,0.668385994876174,0.67935098206661,0.677540563620837,0.681639624252775,0.685602049530316,0.674295473953886,0.679009393680615,0.682801024765158,0.688232280102477,0.680717335610589,0.674261315115286,0.673851409052092,0.673270708795901,0.674363791631085,0.677198975234842,0.689052092228864,0.67064047822374,0.67935098206661,0.687378309137489,0.685157984628523,0.667668659265585,0.686080273270709,0.670777113578138,0.689632792485055,0.672997438087105,0.679760888129804,0.673817250213493,0.684850555081127,0.682186165670367,0.68734415029889,0.674432109308284,0.685021349274125,0.687788215200683,0.686831767719898,0.690179333902647,0.679419299743809,0.679795046968403,0.69202391118702,0.683108454312553
3921,"CACERE",0.945030930607854,0.939903846153846,0.932322485207101,0.943097767616998,0.9375,0.942811995696611,0.939634884346423,0.938592657342657,0.933700914470145,0.938559037116729,0.937550430338892,0.939483593329747,0.936003899946208,0.938071543840775,0.93571812802582,0.939534023668639,0.93983660570199,0.939483593329747,0.940172807961269,0.935600457235073,0.939399542764927,0.939735745024207,0.940240048413125,0.943131387842926,0.938256455083378,0.938710328133405,0.938424556213018,0.939685314685315,0.939214631522324,0.938676707907477,0.93839093598709,0.936121570736955,0.939634884346423,0.940290478752017,0.940172807961269,0.942627084454008,0.939399542764927,0.940021516944594,0.938996100053792,0.940475389994621,0.939618074233459,0.940576250672404,0.939584454007531,0.932759548144164,0.938575847229693,0.93992065626681,0.939534023668639,0.939651694459387,0.939786175363098,0.940290478752017,0.939887036040882
3922,"SANTAN",0.866684322033898,0.871345338983051,0.88125,0.871927966101695,0.873358050847458,0.877595338983051,0.875529661016949,0.877171610169492,0.874258474576271,0.878389830508475,0.860116525423729,0.874152542372881,0.875741525423729,0.876588983050847,0.878125,0.882203389830508,0.876324152542373,0.877171610169492,0.875052966101695,0.878919491525424,0.877595338983051,0.876006355932203,0.872457627118644,0.877171610169492,0.878707627118644,0.873199152542373,0.877966101694915,0.876271186440678,0.880402542372881,0.878760593220339,0.879343220338983,0.879608050847458,0.875794491525424,0.877330508474576,0.877595338983051,0.875688559322034,0.878177966101695,0.883845338983051,0.877065677966102,0.873199152542373,0.877330508474576,0.877648305084746,0.87823093220339,0.882574152542373,0.877065677966102,0.876377118644068,0.878707627118644,0.881197033898305,0.877542372881356,0.878654661016949,0.876430084745763
3924,"CASTEL",0.856792110258315,0.843422464306346,0.819344722290996,0.840059420648675,0.843443096476025,0.842308327143682,0.832219196170669,0.841503672526203,0.830878105141537,0.842576545349509,0.838697697449864,0.839296030370554,0.839811834612528,0.845176198729058,0.844825451844516,0.839192869522159,0.842328959313361,0.824729718577206,0.83896591565569,0.84614591070397,0.833250804654617,0.840348271024181,0.838924651316332,0.842989188743088,0.842308327143682,0.839729305933812,0.838656433110506,0.838450111413716,0.830754312123463,0.845403152595527,0.841173557811339,0.83539655030123,0.845980853346538,0.83201287447388,0.844309647602542,0.846352232400759,0.836964595196831,0.841606833374598,0.843690682512173,0.838862754807296,0.837666088965916,0.840740282248081,0.840265742345465,0.81548650656103,0.835706032846414,0.842390855822398,0.845815795989106,0.846434761079475,0.839192869522159,0.841689362053314,0.842473384501114
